year,month,no_of_rainy_days
1982,1,10
1982,2,5
1982,3,11
1982,4,14
1982,5,10
1982,6,8
1982,7,8
1982,8,11
1982,9,9
1982,10,10
1982,11,13
1982,12,21
1983,1,18
1983,2,2
1983,3,2
1983,4,4
1983,5,11
1983,6,11
1983,7,18
1983,8,10
1983,9,18
1983,10,17
1983,11,18
1983,12,16
1984,1,18
1984,2,19
1984,3,19
1984,4,17
1984,5,12
1984,6,14
1984,7,12
1984,8,13
1984,9,17
1984,10,11
1984,11,17
1984,12,22
1985,1,7
1985,2,11
1985,3,13
1985,4,14
1985,5,12
1985,6,14
1985,7,17
1985,8,11
1985,9,18
1985,10,21
1985,11,21
1985,12,22
1986,1,13
1986,2,2
1986,3,17
1986,4,14
1986,5,13
1986,6,13
1986,7,12
1986,8,11
1986,9,22
1986,10,20
1986,11,21
1986,12,16
1987,1,16
1987,2,7
1987,3,12
1987,4,10
1987,5,16
1987,6,15
1987,7,11
1987,8,16
1987,9,11
1987,10,9
1987,11,17
1987,12,11
1988,1,15
1988,2,9
1988,3,15
1988,4,13
1988,5,14
1988,6,13
1988,7,15
1988,8,14
1988,9,14
1988,10,17
1988,11,23
1988,12,11
1989,1,10
1989,2,3
1989,3,21
1989,4,17
1989,5,12
1989,6,12
1989,7,12
1989,8,18
1989,9,14
1989,10,16
1989,11,20
1989,12,18
1990,1,13
1990,2,8
1990,3,4
1990,4,10
1990,5,11
1990,6,9
1990,7,12
1990,8,13
1990,9,17
1990,10,12
1990,11,17
1990,12,16
1991,1,13
1991,2,7
1991,3,10
1991,4,13
1991,5,23
1991,6,9
1991,7,8
1991,8,8
1991,9,12
1991,10,5
1991,11,19
1991,12,19
1992,1,9
1992,2,4
1992,3,6
1992,4,13
1992,5,13
1992,6,14
1992,7,19
1992,8,11
1992,9,13
1992,10,20
1992,11,18
1992,12,23
1993,1,11
1993,2,8
1993,3,14
1993,4,20
1993,5,10
1993,6,17
1993,7,15
1993,8,11
1993,9,7
1993,10,13
1993,11,18
1993,12,19
1994,1,7
1994,2,15
1994,3,19
1994,4,15
1994,5,16
1994,6,14
1994,7,6
1994,8,12
1994,9,6
1994,10,11
1994,11,21
1994,12,18
1995,1,21
1995,2,16
1995,3,10
1995,4,16
1995,5,11
1995,6,12
1995,7,13
1995,8,21
1995,9,7
1995,10,12
1995,11,20
1995,12,20
1996,1,10
1996,2,11
1996,3,8
1996,4,15
1996,5,15
1996,6,15
1996,7,10
1996,8,18
1996,9,18
1996,10,19
1996,11,16
1996,12,15
1997,1,3
1997,2,8
1997,3,10
1997,4,12
1997,5,6
1997,6,12
1997,7,9
1997,8,9
1997,9,3
1997,10,8
1997,11,13
1997,12,23
1998,1,13
1998,2,5
1998,3,7
1998,4,13
1998,5,18
1998,6,15
1998,7,18
1998,8,18
1998,9,17
1998,10,20
1998,11,11
1998,12,22
1999,1,19
1999,2,9
1999,3,16
1999,4,14
1999,5,13
1999,6,13
1999,7,11
1999,8,13
1999,9,13
1999,10,20
1999,11,19
1999,12,17
2000,1,14
2000,2,18
2000,3,15
2000,4,20
2000,5,10
2000,6,16
2000,7,12
2000,8,18
2000,9,12
2000,10,14
2000,11,21
2000,12,18
2001,1,21
2001,2,11
2001,3,20
2001,4,18
2001,5,12
2001,6,11
2001,7,9
2001,8,14
2001,9,13
2001,10,20
2001,11,15
2001,12,20
2002,1,11
2002,2,2
2002,3,8
2002,4,13
2002,5,13
